"","state","year","revenue"
"732","Ohio",2016,2.8658e+10
"733","Ohio",2017,2.946e+10
"734","Ohio",2018,2.9797e+10
"735","Ohio",2019,3.1392e+10
"736","Oklahoma",1999,5.436e+09
"737","Oklahoma",2000,5.986e+09
"738","Oklahoma",2001,6.214e+09
"739","Oklahoma",2002,5.901e+09
"740","Oklahoma",2003,6.123e+09
"741","Oklahoma",2004,6.553e+09
"742","Oklahoma",2005,7.29e+09
"743","Oklahoma",2006,8.067e+09
"744","Oklahoma",2007,8.276e+09
"745","Oklahoma",2008,8.814e+09
"746","Oklahoma",2009,6.996e+09
"747","Oklahoma",2010,7.275e+09
