OKLAHOMA,457632955,445401067,394083069,374210753,387297821,377997651,368046375,356191994,352443026,341622645,352222688,342772504,331037317,305355295,285058239,272723684,251383487,246656473,245810987,234801962,203606251,191950810;
OREGON,630483853,591243920,539763587,494587399,460541779,429146389,397717660,385041187,382605888,387582629,388122437,397275597,374494734,352399175,337294839,305937546,279158413,277036525,288364898,261337509,233771961,179455970;
PENNSYLVANIA,1791643830,1710266979,1612420993,1538734405,1442409432,1359395829,1289818194,1262977116,1228637579,1215179186,1169784801,1086620845,1051774855,1000132623,952558026,899571892,851226191,792337375,751400264,692455423,661008912,622771596;
RHODE ISLAND,279800299,267070741,257380346,248744281,234929881,230559891,224921922,221289540,223902303,225593743,248278384,266636619,252540877,236532412,230464451,185055463,141672054,131529656,124703506,110739544,93915029,83601897;
SOUTH CAROLINA,688135369,687253663,662087764,619624846,592083778,568055468,534298128,520192090,492121934,474537891,480586925,487739472,469948530,426341337,391163071,366396933,339628317,330343044,314153003,296257205,266564200,247161681;
SOUTH DAKOTA,83527292,80596059,78506985,76803368,69684607,66188373,63354068,61569678,60231411,62504119,61497957,61302300,56941889,53780024,52231982,50768464,48469316,47231448,44393953,41730296,39427452,36643089;
TENNESSEE,548784548,514609550,499944056,416268008,394133496,378073987,359928059,360017489,359655655,342362543,321710738,321371934,298693021,242799708,227032959,215183220,218593724,200290631,189868165,175454106,166623705,154164990;
TEXAS,3053574760,2779363690,2654995698,2515067154,2428238474,2311748863,2169648691,2053943652,1996384592,2081440100,2058006641,1971160146,1893545178,1759203568,1643050505,1558220545,1506361849,1477574356,1373054722,1286358245,1208267542,1083912467;
UTAH,299912383,258746471,231010195,185372781,167485757,166509679,153586362,148653878,147162004,143614756,140092656,138666155,126892940,111388807,102817921,96841532,92731008,88038065,87931430,81291825,75109551,67305903;
VERMONT,155439717,146255349,142283038,133215793,128614568,121757954,120898088,117572264,114891149,111636794,112671646,103820500,99425577,95756020,91603743,85112527,80690811,74199811,70608110,63852052,56559826,50952776;
VIRGINIA,899119355,840097208,811959790,774800068,746366709,727280346,696380209,687632571,652507126,627158407,642426927,655441091,627357662,597727031,548472806,508516435,474173566,442175390,411228710,392921055,367659128,342628004;
WASHINGTON,1305491555,1222996840,1052588916,967929075,862958634,779713068,737024231,683840897,870086410,671778659,658554607,660150257,612168075,569081385,524784609,494930198,468305113,513675197,492505837,474585892,443817707,409599990;
WEST VIRGINIA,184241868,174321020,165396843,166921088,160782774,159213416,156038825,156881882,155961035,153000423,146619411,110677242,103734824,98081147,94580474,88866208,81553215,81165554,76313997,72480448,68461473,64388983;
WISCONSIN,581222543,562928170,541826250,516869561,502608035,494394557,478470260,468935266,462397013,490843389,468750054,448910926,428833402,415956465,399758641,386464168,375946851,361287649,354602871,341375323,322627041,311494280;
